query,named_entity,type
Artists similar to Still Woozy,still woozy,Artist
Songs like Kiss from a Rose,kiss from a rose,WoA
looking for more country inspired music.,,
What 2019 song is this?,,
"Similar to Bonnie ""Prince"" Billy's cover of 'Rubin and Cherise'",bonnie prince billys,Artist
"Similar to Bonnie ""Prince"" Billy's cover of 'Rubin and Cherise'",rubin and cherise,WoA
looking or spacey psychedelic music,,
"I'm looking for songs similar to ""Don't Get Any Closer"" by Eluvium",dont get any closer,WoA
"I'm looking for songs similar to ""Don't Get Any Closer"" by Eluvium",eluvium,Artist
1940’s - 1950’s heart-songs (French?),,
Brothers keeper by anderson .paak,anderson paak,Artist
Brothers keeper by anderson .paak,brothers keeper,WoA
Materialistic/sugar baby anthems,,
"Looking for something similar to ""Buttercup - Jack Stauber""",buttercup,WoA
"Looking for something similar to ""Buttercup - Jack Stauber""",jack stauber,Artist
Music like Mighty?,mighty,Artist
"What are some good fast paced/energetic rock, indie or electro songs?",,
Music similar to the soundtrack of the movie Coco,coco,WoA
"Looking for songs similar to this, psychedelic-like, free of vocals or minimal vocals",,
Chill piano / electronic music?,,
Hip-hop/Funk/Psychedelic music like El Michels Affair,el michels affair,Artist
Twangy jazzy 50s/60s guitar like you hear in a David Lynch movie ?,david lynch,Artist
Hit the road Jack!,hit the road jack,WoA
Bubblegum Kpop songs like “Love Shake” by MINX?,love shake,WoA
Bubblegum Kpop songs like “Love Shake” by MINX?,minx,Artist
Any songs like this? (Suggestions),,
ADEYEME' - ALL DAY,adeyeme,Artist
Any short(er) songs that give you chills,,
Looking for more bands like Novos Baianos,novos baianos,Artist
Rainy days songs?,,
Songs like Veridis Quo by Daft Punk (baroque synth?),veridis quo,WoA
Songs like Veridis Quo by Daft Punk (baroque synth?),daft punk,Artist
Looking for something similar to the Vocals with this one. It's groovy as hell,,
Any similar songs to George Jeff - Jaden smith? Specifically the beat.,george jeff,WoA
Any similar songs to George Jeff - Jaden smith? Specifically the beat.,jaden smith,Artist
Lady Singer-Songwriter Self-Care Playlist,,
Similar singing style/vibe of Use me and Down in Mexico,down in mexico,WoA
Similar singing style/vibe of Use me and Down in Mexico,use me,WoA
"So Long, See You Tomorrow - Bombay Bicycle Club: Any songs similar to this one?",so long see you tomorrow,WoA
"So Long, See You Tomorrow - Bombay Bicycle Club: Any songs similar to this one?",bombay bicycle club,Artist
Desperate for more!,,
Looking for songs for a laid back acoustic playlist,,
Looking for something with a hip hop or r&b feel with some jazzy undertones,,
contemporary avant-garde / electronica / experimental recommendations list,,
Indie/alternative/hard rock love songs?,,
Artists/Bands like The Format?,the format,Artist
Haley Smalls - VooDoo Doll,haley smalls,Artist
Haley Smalls - VooDoo Doll,voodoo doll,WoA
Looking for some Nice Old Music,,
Looking for: D&B/Techno/Ambient with cyberpunk-ish overtones,,
Similar artists/music to this hip-hoppy beatboxy style?,,
Something similar to College & Electric Youth - A Real Hero (Drive Original Movie Soundtrack)?,college,Artist
Something similar to College & Electric Youth - A Real Hero (Drive Original Movie Soundtrack)?,electric youth,Artist
Something similar to College & Electric Youth - A Real Hero (Drive Original Movie Soundtrack)?,a real hero,WoA
Something similar to College & Electric Youth - A Real Hero (Drive Original Movie Soundtrack)?,drive,WoA
Anything like this in EXISTENCE?!? Looking for something that matches this vibe and sound?!,,
Songs about living in your head,,
I’m looking for music,,
"Looking for music, or the genre of music of artists like DatA, she, Kid Velo, SebastiAn.",data,Artist
"Looking for music, or the genre of music of artists like DatA, she, Kid Velo, SebastiAn.",sebastian,Artist
"Looking for music, or the genre of music of artists like DatA, she, Kid Velo, SebastiAn.",she,Artist
"Looking for music, or the genre of music of artists like DatA, she, Kid Velo, SebastiAn.",kid velo,Artist
Stuff like the song The Magnificent Seven by The Clash?,the magnificent seven,WoA
Stuff like the song The Magnificent Seven by The Clash?,the clash,Artist
Baseball music,,
Retro/funk? Don’t know what this genre but I want to build on my playlist.,,
Song similar in feeling and vibe than Grateful Dead.,grateful dead,Artist
Help with new music,,
"Electronic music similar to fischerspooner, flume or hermitude.",fischerspooner,Artist
"Electronic music similar to fischerspooner, flume or hermitude.",flume,Artist
"Electronic music similar to fischerspooner, flume or hermitude.",hermitude,Artist
Anthony Russo-Yew Nork,anthony russo,Artist
Anthony Russo-Yew Nork,yew nork,WoA
Similar to Grizzly Bear - Will Calls (Diplo Remix),grizzly bear,Artist
Similar to Grizzly Bear - Will Calls (Diplo Remix),will calls,WoA
Similar to Grizzly Bear - Will Calls (Diplo Remix),diplo,Artist
Movie voices / Speeches / Dialogues as Lyrics,,
"What would you reccommend, probably from Timberlake, if I liked the SNL trilogy (dick in a box...)",timberlake,Artist
"What would you reccommend, probably from Timberlake, if I liked the SNL trilogy (dick in a box...)",dick in a box,WoA
"What would you reccommend, probably from Timberlake, if I liked the SNL trilogy (dick in a box...)",the snl trilogy,WoA
"bands that are like Dance Gavin Dance, but without the screaming? I love the melodic guitar and the singing, but the screaming is a bit much sometimes.",dance gavin dance,Artist
Gorenoise suggestions,,
Looking for music similar to Bishops Knife Trick -Fall out Boy and Blue Side- JHOPE,bishops knife trick,WoA
Looking for music similar to Bishops Knife Trick -Fall out Boy and Blue Side- JHOPE,fall out boy,Artist
Looking for music similar to Bishops Knife Trick -Fall out Boy and Blue Side- JHOPE,blue side,WoA
Looking for music similar to Bishops Knife Trick -Fall out Boy and Blue Side- JHOPE,jhope,Artist
Songs/artists like the intro to stranger things,stranger things,WoA
Need some new music,,
Heavy metal with good vocals?,,
music agency advertising,,
really chill trap like Hangover from Dynoro,hangover,WoA
really chill trap like Hangover from Dynoro,dynoro,Artist
"anyone similar to Johnny Flynn? I particularly enjoy ""Hard Road"" by him",johnny flynn,Artist
"anyone similar to Johnny Flynn? I particularly enjoy ""Hard Road"" by him",hard road,WoA
"Frank Zappa, Little Feat. Music suggestions for my dad",frank zappa,Artist
"Frank Zappa, Little Feat. Music suggestions for my dad",little feat,Artist
"new album ""Slab City""",slab city,Artist
Songs similar to Bowsprit by Balmorhea?,bowsprit,WoA
Songs similar to Bowsprit by Balmorhea?,balmorhea,Artist
Songs that help you with depression?,,
Going depressed and need happy tunes,,
"Non-Romantic Songs About Being In Alone, etc?",,
Suave Youngin - Neon Clothes,suave youngin,Artist
Suave Youngin - Neon Clothes,neon clothes,WoA
similar beat to this?,,
looking for music with a rhytmic and driving beat but no techno,,
Desperately needing songs about missing or saying goodbye to friends. SAD,,
I have one punk/pop rock song I really like. It's the theme song from a 10 year old show kid's show. Any recommendations for similar songs/artists?,,
Looking for songs with a sensual vibe or a classic noir feeling like Générique by Miles Davis.,générique,WoA
Looking for songs with a sensual vibe or a classic noir feeling like Générique by Miles Davis.,miles davis,Artist
Modern songs that sound like 80's rock,,
Oloff - Sun Rays,oloff,Artist
Oloff - Sun Rays,sun rays,WoA
Modern rock with heavy 60s/70s influence and a slight western/country sound?,,
Please suggest some good German melodic songs ?,,
"These songs are not that well known but what are some American artists or songs that are similar to Colde - Sunflower, Colde - Shh, offonoff - Dance?",colde,Artist
"These songs are not that well known but what are some American artists or songs that are similar to Colde - Sunflower, Colde - Shh, offonoff - Dance?",sunflower,WoA
"These songs are not that well known but what are some American artists or songs that are similar to Colde - Sunflower, Colde - Shh, offonoff - Dance?",colde,Artist
"These songs are not that well known but what are some American artists or songs that are similar to Colde - Sunflower, Colde - Shh, offonoff - Dance?",shh,WoA
"These songs are not that well known but what are some American artists or songs that are similar to Colde - Sunflower, Colde - Shh, offonoff - Dance?",offonoff,Artist
"These songs are not that well known but what are some American artists or songs that are similar to Colde - Sunflower, Colde - Shh, offonoff - Dance?",dance,WoA
Looking for Creepy Ambient music while Writing,,
Emo songs that aren't about girlfriends/boyfriends,,
Hardest Geometry Problem in the World- Mark Mothersbaugh ~Similar songs?,hardest geometry problem in the world,WoA
Hardest Geometry Problem in the World- Mark Mothersbaugh ~Similar songs?,mark mothersbaugh,Artist
"Songs with themes of being unable to settle? (EX: Hozier's Someone New, Elle King's Exes and Ohs)",hoziers,Artist
"Songs with themes of being unable to settle? (EX: Hozier's Someone New, Elle King's Exes and Ohs)",someone new,WoA
"Songs with themes of being unable to settle? (EX: Hozier's Someone New, Elle King's Exes and Ohs)",elle kings,Artist
"Songs with themes of being unable to settle? (EX: Hozier's Someone New, Elle King's Exes and Ohs)",exes and ohs,WoA
Songs to listen to when you feel lost in life or feel like giving up & wanting to be reassured?,,
"Looking for music that feels ""primeval.""",,
NGHTMRE - Street (ANAR remix),nghtmre,Artist
NGHTMRE - Street (ANAR remix),street,WoA
NGHTMRE - Street (ANAR remix),anar,Artist
"Looking for some good Metal and Deathcore, any suggestions?",,
Looking for slow deep kick n' bass music,,
Melodic metal/rock,,
Whats the name of this suspense type music,,
Favorite obscure bands from the early 2000's,,
Angry loud and melodic,,
"Music/Artists similar to Nujabes, Atlas, etc.",nujabes,Artist
"Music/Artists similar to Nujabes, Atlas, etc.",atlas,Artist
"Looking for good, modern Swedish artists (sung in Swedish as well)",,
Looking for rappers with good music/beats,,
"70's rnb/jazz/blues (GSH, Gaye, etc)",gaye,Artist
"70's rnb/jazz/blues (GSH, Gaye, etc)",gsh,Artist
Irish hip hop (Cloud 404 - 9LIFE) 2020,cloud 404,Artist
Irish hip hop (Cloud 404 - 9LIFE) 2020,9life,WoA
Genre or music suggestions similar to this song??,,
Music with similar theme as Save yourself - Stabbing westward on the incapacity to take care of someone (even if one would like to). Any genre ok!,save yourself,WoA
Music with similar theme as Save yourself - Stabbing westward on the incapacity to take care of someone (even if one would like to). Any genre ok!,stabbing westward,Artist
Looking for bass heavy synth soundscapes/ambient like Zimmer's Blade Runner 2049 score.,zimmers,Artist
Looking for bass heavy synth soundscapes/ambient like Zimmer's Blade Runner 2049 score.,blade runner 2049,WoA
Anything simmilar to the Llamas with hats outro,llamas with hats,WoA
Similar songs / genre like this,,
Music like Parquet Courts,parquet courts,Artist
"Finally got into Bon Iver and Iron & Wine, what are some other similar artists?",bon iver,Artist
"Finally got into Bon Iver and Iron & Wine, what are some other similar artists?",iron & wine,Artist
Songs with orchestral backings??,,
Songs that are basically about being the best,,
In Search for a Song that Describes a Character,,
"any ""happy/upbeat sounding"" but actually melancholic breakup songs?",,
Creating a Grade 6 graduation slideshow,,
"Suggestions for Street Level, combat themes? All genres welcome",,
any artists similar to Tally Hall or Miracle musical? It's getting repetitive listening to the songs on repeat.,tally hall,Artist
any artists similar to Tally Hall or Miracle musical? It's getting repetitive listening to the songs on repeat.,miracle musical,Artist
Something similar to System of a Down,system of a down,Artist
looking for similar tracks to Amon Tobin & Kid Koala - Untitled,amon tobin,Artist
looking for similar tracks to Amon Tobin & Kid Koala - Untitled,kid koala,Artist
looking for similar tracks to Amon Tobin & Kid Koala - Untitled,untitled,WoA
Trance/classical/newage music like this,,
Looking for ambient instrumental songs,,
"Code Orange - Dreams in Inertia - - - I like Code Orange alright, but I really want to find more melodic stuff like this song in particular. Almost like Shoegazey metal.",code orange,Artist
